Sample,Concentration,Time,Replicate,Initial,Alive,Dead,Mortality Decimal,Mortality %,Control Mortality %,Corrected Mortality %,Probit,Log Conc
Gold,10.0,0,1,18,18,0,0.0,0.0,0.0,0.0,1.9098,1.0
Gold,10.0,20,1,18,14,4,0.2222222222222222,22.22222222222222,11.11,12.5,3.8497,1.0
Gold,10.0,40,1,18,11,7,0.3888888888888889,38.88888888888889,16.67,26.67,4.3771,1.0
Gold,10.0,60,1,18,10,8,0.4444444444444444,44.44444444444444,33.33,16.67,4.0326,1.0
Gold,10.0,80,1,18,9,9,0.5,50.0,33.33,25.0,4.3255,1.0
Gold,10.0,100,1,18,8,10,0.5555555555555556,55.55555555555556,44.44,20.0,4.1584,1.0
Gold,10.0,0,2,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.0
Gold,10.0,20,2,20,16,4,0.2,20.0,11.11,10.0,3.7184,1.0
Gold,10.0,40,2,20,13,7,0.35,35.0,16.67,22.0,4.2278,1.0
Gold,10.0,60,2,20,11,9,0.45,45.0,33.33,17.5,4.0654,1.0
Gold,10.0,80,2,20,9,11,0.55,55.00000000000001,33.33,32.5,4.5462,1.0
Gold,10.0,100,2,20,8,12,0.6,60.0,44.44,28.0,4.4172,1.0
Gold,30.0,0,1,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.4771
Gold,30.0,20,1,20,15,5,0.25,25.0,11.11,15.63,3.99,1.4771
Gold,30.0,40,1,20,13,7,0.35,35.0,16.67,22.0,4.2278,1.4771
Gold,30.0,60,1,20,10,10,0.5,50.0,33.33,25.0,4.3255,1.4771
Gold,30.0,80,1,20,7,13,0.65,65.0,33.33,47.5,4.9373,1.4771
Gold,30.0,100,1,20,5,15,0.75,75.0,44.44,55.0,5.1257,1.4771
Gold,30.0,0,2,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.4771
Gold,30.0,20,2,20,14,6,0.3,30.0,11.11,21.25,4.2022,1.4771
Gold,30.0,40,2,20,12,8,0.4,40.0,16.67,28.0,4.4172,1.4771
Gold,30.0,60,2,20,9,11,0.55,55.00000000000001,33.33,32.5,4.5462,1.4771
Gold,30.0,80,2,20,5,15,0.75,75.0,33.33,62.5,5.3186,1.4771
Gold,30.0,100,2,20,3,17,0.85,85.0,44.44,73.0,5.6128,1.4771
Gold,50.0,0,1,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.699
Gold,50.0,20,1,20,8,12,0.6,60.0,11.11,55.0,5.1257,1.699
Gold,50.0,40,1,20,7,13,0.65,65.0,16.67,58.0,5.2019,1.699
Gold,50.0,60,1,20,4,16,0.8,80.0,33.33,70.0,5.5244,1.699
Gold,50.0,80,1,20,2,18,0.9,90.0,33.33,85.0,6.0364,1.699
Gold,50.0,100,1,20,0,20,1.0,100.0,44.44,100.0,8.0902,1.699
Gold,50.0,0,2,20,8,12,0.6,60.0,0.0,60.0,5.2533,1.699
Gold,50.0,20,2,20,8,12,0.6,60.0,11.11,55.0,5.1257,1.699
Gold,50.0,40,2,20,5,15,0.75,75.0,16.67,70.0,5.5244,1.699
Gold,50.0,60,2,20,1,19,0.95,95.0,33.33,92.5,6.4395,1.699
Gold,50.0,80,2,20,0,20,1.0,100.0,33.33,100.0,8.0902,1.699
Gold,50.0,100,2,20,20,0,0.0,0.0,44.44,0.0,1.9098,1.699
