Sample,Concentration,Time,Replicate,Initial,Alive,Dead,Mortality Decimal,Mortality %,Control Mortality %,Corrected Mortality %,Probit,Log Conc
Silver,10.0,0,1,18,18,0,0.0,0.0,0.0,0.0,1.9098,1.0
Silver,10.0,20,1,18,11,7,0.3888888888888889,38.88888888888889,11.11,31.25,4.5112,1.0
Silver,10.0,40,1,18,10,8,0.4444444444444444,44.44444444444444,16.67,33.33,4.5693,1.0
Silver,10.0,60,1,18,7,11,0.6111111111111112,61.11111111111112,33.33,41.67,4.7896,1.0
Silver,10.0,80,1,18,7,11,0.6111111111111112,61.11111111111112,33.33,41.67,4.7896,1.0
Silver,10.0,100,1,18,6,12,0.6666666666666666,66.66666666666666,44.44,40.0,4.7467,1.0
Silver,10.0,0,2,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.0
Silver,10.0,20,2,20,15,5,0.25,25.0,11.11,15.63,3.99,1.0
Silver,10.0,40,2,20,13,7,0.35,35.0,16.67,22.0,4.2278,1.0
Silver,10.0,60,2,20,12,8,0.4,40.0,33.33,10.0,3.7184,1.0
Silver,10.0,80,2,20,9,11,0.55,55.00000000000001,33.33,32.5,4.5462,1.0
Silver,10.0,100,2,20,8,12,0.6,60.0,44.44,28.0,4.4172,1.0
Silver,30.0,0,1,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.4771
Silver,30.0,20,1,20,13,7,0.35,35.0,11.11,26.88,4.3834,1.4771
Silver,30.0,40,1,20,9,11,0.55,55.00000000000001,16.67,46.0,4.8996,1.4771
Silver,30.0,60,1,20,8,12,0.6,60.0,33.33,40.0,4.7467,1.4771
Silver,30.0,80,1,20,4,16,0.8,80.0,33.33,70.0,5.5244,1.4771
Silver,30.0,100,1,20,3,17,0.85,85.0,44.44,73.0,5.6128,1.4771
Silver,30.0,0,2,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.4771
Silver,30.0,20,2,20,12,8,0.4,40.0,11.11,32.5,4.5462,1.4771
Silver,30.0,40,2,20,9,11,0.55,55.00000000000001,16.67,46.0,4.8996,1.4771
Silver,30.0,60,2,20,7,13,0.65,65.0,33.33,47.5,4.9373,1.4771
Silver,30.0,80,2,20,4,16,0.8,80.0,33.33,70.0,5.5244,1.4771
Silver,30.0,100,2,20,3,17,0.85,85.0,44.44,73.0,5.6128,1.4771
Silver,50.0,0,1,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.699
Silver,50.0,20,1,20,7,13,0.65,65.0,11.11,60.63,5.2696,1.699
Silver,50.0,40,1,20,4,16,0.8,80.0,16.67,76.0,5.7063,1.699
Silver,50.0,60,1,20,0,20,1.0,100.0,33.33,100.0,8.0902,1.699
Silver,50.0,80,1,20,0,20,1.0,100.0,33.33,100.0,8.0902,1.699
Silver,50.0,100,1,20,0,20,1.0,100.0,44.44,100.0,8.0902,1.699
Silver,50.0,0,2,20,20,0,0.0,0.0,0.0,0.0,1.9098,1.699
Silver,50.0,20,2,20,7,13,0.65,65.0,11.11,60.63,5.2696,1.699
Silver,50.0,40,2,20,5,15,0.75,75.0,16.67,70.0,5.5244,1.699
Silver,50.0,60,2,20,2,18,0.9,90.0,33.33,85.0,6.0364,1.699
Silver,50.0,80,2,20,0,20,1.0,100.0,33.33,100.0,8.0902,1.699
Silver,50.0,100,2,20,0,20,1.0,100.0,44.44,100.0,8.0902,1.699
